pais,nombre_completo,club,posicion,partidos_internacionales
Corea del Sur,Oh Hyeon-gyu,Beşiktaş,Delantero,20
Canadá,Dayne St. Clair,Inter Miami,Portero,19
Canadá,Maxime Crépeau,Orlando City SC,Portero,30
Canadá,Owen Goodman,Barnsley,Portero,0
Canadá,Alistair Johnston,Celtic,Defensa,56
Canadá,Luc de Fougerolles,Dender,Defensa,11
Canadá,Alfie Jones,Middlesbrough,Defensa,1
Canadá,Joel Waterman,Chicago Fire,Defensa,17
Canadá,Derek Cornelius,Rangers,Defensa,42
Canadá,Moïse Bombito,OGC Nice,Defensa,19
Canadá,Alphonso Davies,Bayern Munich,Defensa,4
Canadá,Richie Laryea,Toronto FC,Defensa,73
Canadá,Niko Sigur,Hadjuk Split,Defensa,17
Canadá,Mathieu Choinière,LAFC,Mediocampista,22
Canadá,Stephen Eustáquio,LAFC,Mediocampista,54
Canadá,Ismaël Koné,Sassuolo,Mediocampista,38
Canadá,Liam Millar,Hull City,Mediocampista,39
Canadá,Jacob Shaffelburg,LAFC,Mediocampista,31
Canadá,Ali Ahmed,Norwich City,Mediocampista,24
Canadá,Jonathan Osorio,Toronto FC,Mediocampista,89
Canadá,Nathan Saliba,Anderlecht,Mediocampista,13
Canadá,Marcelo Flores,Tigres UANL,Mediocampista,2
Canadá,Tajon Buchanan,Villarreal,Delantero,58
Canadá,Jonathan David,Juventus,Delantero,75
Canadá,Tani Oluwaseyi,Villarreal,Delantero,11
Canadá,Cyle Larin,Southampton,Delantero,88
Canadá,Promise David,Union Saint-Gilloise,Delantero,8
Bosnia y Herzegovina,Nikola Vasilj,St. Pauli,Portero,25
Bosnia y Herzegovina,Martin Zlomislić,Rijeka,Portero,2
Bosnia y Herzegovina,Osman Hadžikić,Slaven Belupo,Portero,0
Bosnia y Herzegovina,Sead Kolašinac,Atalanta,Defensa,64
Bosnia y Herzegovina,Dennis Hadžikadunić,Sampdoria,Defensa,30
Bosnia y Herzegovina,Amar Dedić,Benfica,Defensa,26
Bosnia y Herzegovina,Nikola Katić,Schalke,Defensa,15
Bosnia y Herzegovina,Tarik Muharemović,Sassuolo,Defensa,12
Bosnia y Herzegovina,Nihad Mujakić,Gaziantep,Defensa,10
Bosnia y Herzegovina,Stjepan Radeljić,Rijeka,Defensa,4
Bosnia y Herzegovina,Nidal Čelik,Lens,Defensa,0
Bosnia y Herzegovina,Amir Hadžiahmetović,Hull City,Mediocampista,34
Bosnia y Herzegovina,Benjamin Tahirović,Brøndby,Mediocampista,26
Bosnia y Herzegovina,Armin Gigović,Young Boys,Mediocampista,18
Bosnia y Herzegovina,Dženis Burnić,Karlsruher SC,Mediocampista,18
Bosnia y Herzegovina,Ivan Bašić,Astana,Mediocampista,15
Bosnia y Herzegovina,Esmir Bajraktarević,PSV Eindhoven,Mediocampista,14
Bosnia y Herzegovina,Amar Memić,Viktoria Plzeň,Mediocampista,11
Bosnia y Herzegovina,Ivan Šunjić,Pafos,Mediocampista,11
Bosnia y Herzegovina,Kerim Alajbegović,RB Salzburg,Mediocampista,8
Bosnia y Herzegovina,Ermin Mahmić,Slovan Liberec,Mediocampista,0
Bosnia y Herzegovina,Edin Džeko,Schalke,Delantero,148
Bosnia y Herzegovina,Ermedin Demirović,Stuttgart,Delantero,38
Bosnia y Herzegovina,Samed Baždar,Jagiellonia Białystok,Delantero,11
Bosnia y Herzegovina,Haris Tabaković,Borussia Mönchengladbach,Delantero,10
Bosnia y Herzegovina,Jovo Lukić,Universitatea Cluj,Delantero,1
Catar,Mahmud Abunada,Al Rayyan,Portero,4
Catar,Salah Zakaria,Al Duhail,Portero,8
Catar,Meshaal Barsham,Al Sadd,Portero,52
Catar,Pedro Miguel,Al Sadd,Defensa,98
Catar,Lucas Mendes,Al Wakrah,Defensa,25
Catar,Issa Laye,Al Arabi,Defensa,3
Catar,Jassem Gaber,Al Rayyan,Defensa,31
Catar,Ayoub Al-Oui,Al Gharafa,Defensa,5
Catar,Homam Ahmed,Cultural Leonesa,Defensa,67
Catar,Boualem Khoukhi,Al Sadd,Defensa,115
Catar,Sultan Al-Brake,Al Duhail,Defensa,16
Catar,Al-Hashmi Al-Hussain,Al Arabi,Defensa,7
Catar,Abdulaziz Hatem,Al Rayyan,Mediocampista,117
Catar,Karim Boudiaf,Al Duhail,Mediocampista,117
Catar,Ahmed Al-Ganehi,Al Gharafa,Mediocampista,13
Catar,Ahmed Fathy,Al Arabi,Mediocampista,47
Catar,Assim Madibo,Al Wakrah,Mediocampista,50
Catar,Ahmed Alaaeldin,Al Rayyan,Mediocampista,67
Catar,Edmilson Junior,Al Duhail,Mediocampista,15
Catar,Mohammed Muntari,Al Gharafa,Delantero,67
Catar,Hassan Al-Haydos,Al Sadd,Delantero,185
Catar,Akram Afif,Al Sadd,Delantero,124
Catar,Yusuf Abdurisag,Al Wakrah,Delantero,38
Catar,Almoez Ali,Al Duhail,Delantero,115
Catar,Tahsin Jamshid,Al Duhail,Delantero,2
Catar,Mohamed Manai,Al Shamal,Delantero,9
Suiza,Gregor Kobel,Borussia Dortmund,Portero,20
Suiza,Yvon Mvogo,Lorient,Portero,12
Suiza,Marvin Keller,Young Boys,Portero,0
Suiza,Ricardo Rodriguez,Real Betis,Defensa,136
Suiza,Manuel Akanji,Inter,Defensa,79
Suiza,Nico Elvedi,Borussia Mönchengladbach,Defensa,65
Suiza,Silvan Widmer,Mainz,Defensa,58
Suiza,Eray Cömert,Valencia,Defensa,20
Suiza,Miro Muheim,Hamburg,Defensa,8
Suiza,Aurèle Amenda,Eintracht Frankfurt,Defensa,6
Suiza,Luca Jaquez,Stuttgart,Defensa,2
Suiza,Granit Xhaka,Sunderland,Mediocampista,144
Suiza,Remo Freuler,Bologna,Mediocampista,86
Suiza,Denis Zakaria,Monaco,Mediocampista,63
Suiza,Djibril Sow,Sevilla,Mediocampista,50
Suiza,Michel Aebischer,Pisa,Mediocampista,38
Suiza,Fabian Rieder,Augsburg,Mediocampista,27
Suiza,Christian Fassnacht,Young Boys,Mediocampista,21
Suiza,Johan Manzambi,Freiburg,Mediocampista,10
Suiza,Ardon Jashari,Milan,Mediocampista,6
Suiza,Breel Embolo,Rennes,Delantero,85
Suiza,Rubén Vargas,Sevilla,Delantero,60
Suiza,Dan Ndoye,Nottingham Forest,Delantero,29
Suiza,Zeki Amdouni,Burnley,Delantero,27
Suiza,Noah Okafor,Leeds United,Delantero,24
Suiza,Cedric Itten,Fortuna Düsseldorf,Delantero,13
Brasil,Alisson,Liverpool,Portero,76
Brasil,Ederson,Fenerbahçe,Portero,31
Brasil,Weverton,Grêmio,Portero,10
Brasil,Marquinhos,PSG,Defensa,104
Brasil,Danilo Luiz,Flamengo,Defensa,68
Brasil,Alex Sandro,Flamengo,Defensa,43
Brasil,Gabriel Magalhães,Arsenal,Defensa,17
Brasil,Bremer,Juventus,Defensa,6
Brasil,Wesley,Roma,Defensa,6
Brasil,Roger Ibañez,Al Ahli,Defensa,5
Brasil,Douglas Santos,Zenit,Defensa,5
Brasil,Léo Pereira,Flamengo,Defensa,2
Brasil,Casemiro,Manchester United,Mediocampista,84
Brasil,Lucas Paquetá,Flamengo,Mediocampista,61
Brasil,Bruno Guimarães,Newcastle,Mediocampista,41
Brasil,Fabinho,Al Ittihad,Mediocampista,31
Brasil,Danilo Santos,Botafogo,Mediocampista,2
Brasil,Neymar,Santos,Delantero,128
Brasil,Vinicius Junior,Real Madrid,Delantero,47
Brasil,Raphinha,Barcelona,Delantero,37
Brasil,Gabriel Martinelli,Arsenal,Delantero,22
Brasil,Matheus Cunha,Manchester United,Delantero,21
Brasil,Endrick,Lyon,Delantero,15
Brasil,Luiz Henrique,Zenit,Delantero,13
Brasil,Igor Thiago,Brentford,Delantero,2
Brasil,Rayan,Bournemouth,Delantero,1
Marruecos,Yassine Bounou,Al Hilal,Portero,89
Marruecos,Munir Mohamedi,RS Berkane,Portero,50
Marruecos,Ahmed Reda Tagnaouti,AS FAR,Portero,3
Marruecos,Achraf Hakimi,Paris Saint-Germain,Defensa,95
Marruecos,Nayef Aguerd,Marseille,Defensa,64
Marruecos,Noussair Mazraoui,Manchester United,Defensa,43
Marruecos,Youssef Belammari,Al Ahly,Defensa,8
Marruecos,Anass Salah-Eddine,PSV Eindhoven,Defensa,8
Marruecos,Chadi Riad,Crystal Palace,Defensa,4
Marruecos,Issa Diop,Fulham,Defensa,2
Marruecos,Zakaria El Ouahdi,Genk,Defensa,2
Marruecos,Redouane Halhal,Mechelen,Defensa,1
Marruecos,Sofyan Amrabat,Real Betis,Mediocampista,73
Marruecos,Azzedine Ounahi,Girona,Mediocampista,47
Marruecos,Bilal El Khannouss,Stuttgart,Mediocampista,35
Marruecos,Ismael Saibari,PSV Eindhoven,Mediocampista,27
Marruecos,Neil El Aynaoui,Roma,Mediocampista,15
Marruecos,Samir El Mourabet,Strasbourg,Mediocampista,2
Marruecos,Ayyoub Bouaddi,Lille,Mediocampista,0
Marruecos,Ayoud El Kaabi,Olympiacos,Delantero,55
Marruecos,Abde Ezzalzouli,Real Betis,Delantero,35
Marruecos,Soufiane Rahimi,Al Ain,Delantero,25
Marruecos,Brahim Díaz,Real Madrid,Delantero,24
Marruecos,Chemsdine Talbi,Sunderland,Delantero,5
Marruecos,Gessime Yassine,Strasbourg,Delantero,2
Marruecos,Ayoube Amaimouni,Eintracht Frankfurt,Delantero,0
Haití,Johny Placide,Bastia,Portero,79
Haití,Alexandre Pierre,Sochaux,Portero,14
Haití,Josué Duverger,Cosmos Koblenz,Portero,6
Haití,Ricardo Adé,LDU Quito,Defensa,57
Haití,Carlens Arcus,Angers,Defensa,51
Haití,Martin Expérience,Nancy,Defensa,19
Haití,Jean-Kévin Duverne,Gent,Defensa,15
Haití,Duke Lacroix,Colorado Springs Switchbacks FC,Defensa,14
Haití,Wilguens Paugain,Zulte Waregem,Defensa,6
Haití,Hannes Delcroix,Lugano,Defensa,5
Haití,Keeto Thermoncy,Young Boys,Defensa,1
Haití,Leverton Pierre,Vizela,Mediocampista,33
Haití,Danley Jean Jacques,Philadelphia Union,Mediocampista,28
Haití,Carl Sainté,,Mediocampista,25
Haití,Jean-Ricner Bellegarde,Wolves,Mediocampista,8
Haití,Woodensky Pierre,El Paso Locomotive FC,Mediocampista,1
Haití,Dominique Simon,Tatran Prešov,Mediocampista,0
Haití,Duckens Nazon,Esteghal,Delantero,76
Haití,Frantzdy Pierrot,Çaykur Rizespor,Delantero,49
Haití,Derrick Etienne Jr.,Toronto FC,Delantero,46
Haití,Louicius Deedson,FC Dallas,Delantero,30
Haití,Ruben Providence,Almere City,Delantero,13
Haití,Josué Casimir,Auxerre,Delantero,5
Haití,Yassin Fortuné,Vizela,Delantero,3
Haití,Wilson Isidor,Sunderland,Delantero,2
Haití,Lenny Joseph,Ferencváros,Delantero,0
Escocia,Craig Gordon,Hearts,Portero,83
Escocia,Angus Gunn,Nottingham Forest,Portero,21
Escocia,Liam Kelly,Rangers,Portero,2
Escocia,Andy Robertson,Liverpool,Defensa,92
Escocia,Grant Hanley,Hibernian,Defensa,66
Escocia,Kieran Tierney,Celtic,Defensa,55
Escocia,Scott McKenna,Dinamo Zagreb,Defensa,49
Escocia,Jack Hendry,Al Ettifaq,Defensa,37
Escocia,Nathan Patterson,Everton,Defensa,25
