pais,nombre_completo,club,posicion,partidos_internacionales
Curazao,Tahith Chong,Sheffield United,Delantero,4
Costa de Marfil,Yahia Fofana,Çaykur Rizespor,Portero,34
Costa de Marfil,Alban Lafont,Panathinaikos,Portero,4
Costa de Marfil,Mohamed Koné,Charleroi,Portero,0
Costa de Marfil,Ghislain Konan,Gil Vicente,Defensa,53
Costa de Marfil,Odilon Kossounou,Atalanta,Defensa,35
Costa de Marfil,Wilfried Singo,Galatasaray,Defensa,33
Costa de Marfil,Evan Ndicka,Roma,Defensa,28
Costa de Marfil,Emmanuel Agbadou,Beşiktaş,Defensa,19
Costa de Marfil,Guéla Doué,Strasbourg,Defensa,19
Costa de Marfil,Ousmane Diomande,Sporting CP,Defensa,14
Costa de Marfil,Clément Akpa,Auxerre,Defensa,5
Costa de Marfil,Franck Kessié,Al Ahli,Mediocampista,102
Costa de Marfil,Jean Michaël Seri,Maribor,Mediocampista,65
Costa de Marfil,Ibrahim Sangaré,Nottingham Forest,Mediocampista,57
Costa de Marfil,Seko Fofana,Porto,Mediocampista,31
Costa de Marfil,Christ Inao Oulaï,Trabzonspor,Mediocampista,8
Costa de Marfil,Parfait Guiagon,Charleroi,Mediocampista,5
Costa de Marfil,Nicolas Pépé,Villarreal,Delantero,54
Costa de Marfil,Oumar Diakité,Cercle Brugge,Delantero,28
Costa de Marfil,Simon Adingra,Monaco,Delantero,28
Costa de Marfil,Evann Guessand,Crystal Palace,Delantero,21
Costa de Marfil,Amad Diallo,Manchester United,Delantero,18
Costa de Marfil,Yan Diomande,RB Leipzig,Delantero,9
Costa de Marfil,Bazoumana Touré,Hoffenheim,Delantero,5
Costa de Marfil,Elye Wahi,Nice,Delantero,1
Costa de Marfil,Ange-Yoan Bonny,Inter Milan,Delantero,0
Ecuador,Hernán Galíndez,Huracán,Portero,34
Ecuador,Moisés Ramírez,Kifisia,Portero,7
Ecuador,Gonzalo Valle,LDU Quito,Portero,3
Ecuador,Félix Torres,Internacional,Defensa,48
Ecuador,Piero Hincapié,Arsenal,Defensa,51
Ecuador,Joel Ordóñez,Club Brugge,Defensa,16
Ecuador,Willian Pacho,PSG,Defensa,34
Ecuador,Pervis Estupiñán,AC Milan,Defensa,53
Ecuador,Ángelo Preciado,Atlético Mineiro,Defensa,54
Ecuador,Jackson Porozo,Tijuana,Defensa,9
Ecuador,Jordy Alcívar,Independiente del Valle,Mediocampista,10
Ecuador,Denil Castillo,Midtjylland,Mediocampista,5
Ecuador,John Yeboah,Venezia,Mediocampista,22
Ecuador,Kendry Páez,River Plate,Mediocampista,25
Ecuador,Alan Minda,Atlético Mineiro,Mediocampista,19
Ecuador,Pedro Vite,UNAM,Mediocampista,16
Ecuador,Gonzalo Plata,Flamengo,Mediocampista,49
Ecuador,Alan Franco,Atlético Mineiro,Mediocampista,57
Ecuador,Moisés Caicedo,Chelsea,Mediocampista,60
Ecuador,Yaimar Medina,Genk,Mediocampista,5
Ecuador,Kevin Rodríguez,Union Saint-Gilloise,Delantero,31
Ecuador,Enner Valencia,Pachuca,Delantero,105
Ecuador,Anthony Valencia,Antwerp,Delantero,2
Ecuador,Jordy Caicedo,Huracán,Delantero,19
Ecuador,Nilson Angulo,Sunderland,Delantero,13
Ecuador,Jeremy Arévalo,Stuttgart,Delantero,3
Países Bajos,Bart Verburggen,Brighton & Hove Albion,Portero,27
Países Bajos,Mark Flekken,Bayer Leverkusen,Portero,11
Países Bajos,Robin Roefs,Sunderland,Portero,0
Países Bajos,Virgil van Dijk,Liverpool,Defensa,90
Países Bajos,Denzel Dumfries,Inter,Defensa,71
Países Bajos,Nathan Aké,Manchester City,Defensa,58
Países Bajos,Jurriën Timber,Arsenal,Defensa,23
Países Bajos,Micky van de Ven,Tottenham Hotspur,Defensa,19
Países Bajos,Mats Wieffer,Brighton & Hove Albion,Defensa,14
Países Bajos,Jan Paul van Hecke,Brighton & Hove Albion,Defensa,10
Países Bajos,Jorrel Hato,Chelsea,Defensa,7
Países Bajos,Frenkie de Jong,Barcelona,Mediocampista,64
Países Bajos,Marten de Roon,Atalanta,Mediocampista,42
Países Bajos,Tijjani Reijnders,Manchester City,Mediocampista,30
Países Bajos,Teun Koopmeiners,Juventus,Mediocampista,27
Países Bajos,Ryan Gravenberch,Liverpool,Mediocampista,25
Países Bajos,Justin Kluivert,Bournemouth,Mediocampista,11
Países Bajos,Quinten Timber,Marseille,Mediocampista,10
Países Bajos,Guus Til,PSV Eindhoven,Mediocampista,6
Países Bajos,Memphis Depay,Corinthians,Delantero,108
Países Bajos,Wout Weghorst,Ajax,Delantero,51
Países Bajos,Donyell Malen,Roma,Delantero,51
Países Bajos,Cody Gakpo,Liverpool,Delantero,48
Países Bajos,Noa Lang,Galatasaray,Delantero,15
Países Bajos,Brian Brobbey,Sunderland,Delantero,10
Países Bajos,Crysencio Summerville,West Ham United,Delantero,0
Japón,Zion Suzuki,Parma,Portero,23
Japón,Keisuke Ōsako,Sanfrecce Hiroshima,Portero,11
Japón,Tomoki Hayakawa,Kashima Antlers,Portero,3
Japón,Yūto Nagatomo,FC Tokyo,Defensa,144
Japón,Takehiro Tomiyasu,Ajax,Defensa,42
Japón,Ko Itakura,Ajax,Defensa,39
Japón,Shōgo Taniguchi,Sint-Truiden,Defensa,37
Japón,Hiroki Ito,Bayern Munich,Defensa,23
Japón,Yukinari Sugawara,Werder Bremen,Defensa,20
Japón,Ayumu Seko,Le Havre,Defensa,13
Japón,Tsuyoshi Watanabe,Feyenoord,Defensa,10
Japón,Junnosuke Suzuki,Copenhagen,Defensa,6
Japón,Wataru Endo,Liverpool,Mediocampista,72
Japón,Junya Itō,Genk,Mediocampista,68
Japón,Ritsu Dōan,Eintracht Frankfurt,Mediocampista,64
Japón,Daichi Kamada,Crystal Palace,Mediocampista,49
Japón,Takefusa Kubo,Real Sociedad,Mediocampista,48
Japón,Ao Tanaka,Leeds United,Mediocampista,37
Japón,Keito Nakamura,Reims,Mediocampista,24
Japón,Kaishu Sano,Mainz,Mediocampista,12
Japón,Ayase Ueda,Feyenoord,Delantero,38
Japón,Daizen Maeda,Celtic,Delantero,27
Japón,Kōki Ogawa,NEC,Delantero,14
Japón,Yuito Suzuki,Freiburg,Delantero,6
Japón,Keisuke Gotō,Sint-Truiden,Delantero,3
Japón,Kento Shiogai,Wolfsburg,Delantero,1
Suecia,Kristoffer Nordfeldt,AIK,Portero,20
Suecia,Viktor Johansson,Stoke City,Portero,12
Suecia,Jacob Widell Zetterström,Derby County,Portero,2
Suecia,Victor Lindelöf,Aston Villa,Defensa,75
Suecia,Isak Hien,Atalanta,Defensa,27
Suecia,Gabriel Gudmundsson,Leeds United,Defensa,23
Suecia,Carl Starfelt,Celta Vigo,Defensa,17
Suecia,Hjalmar Ekdal,Burnley,Defensa,11
Suecia,Daniel Svensson,Borussia Dortmund,Defensa,11
Suecia,Gustaf Lagerbielke,Braga,Defensa,9
Suecia,Herman Johansson,FC Dallas,Defensa,2
Suecia,Eric Smith,St. Pauli,Defensa,0
Suecia,Elliot Stroud,Mjällby AIF,Defensa,0
Suecia,Mattias Svanberg,Wolfsburg,Mediocampista,39
Suecia,Jesper Karlström,Udinese,Mediocampista,23
Suecia,Yasin Ayari,Brighton & Hove Albion,Mediocampista,19
Suecia,Lucas Bergvall,Tottenham Hotspur,Mediocampista,8
Suecia,Besfort Zeneli,Union Saint-Gilloise,Mediocampista,6
Suecia,Alexander Isak,Liverpool,Delantero,56
Suecia,Viktor Gyökeres,Arsenal,Delantero,32
Suecia,Ken Sema,Pafos,Delantero,32
Suecia,Anthony Elanga,Newcastle United,Delantero,28
Suecia,Benjamin Nygren,Celtic,Delantero,9
Suecia,Alexander Bernhardsson,Holstein Kiel,Delantero,9
Suecia,Gustaf Nilsson,Club Brugge,Delantero,8
Suecia,Taha Ali,Malmö FF,Delantero,1
Túnez,Aymen Dahmen,CS Sfaxien,Portero,37
Túnez,Sabri Ben Hessen,Étoile du Sahel,Portero,2
Túnez,Mouhib Chamakh,Club Africain,Portero,1
Túnez,Montassar Talbi,Lorient,Defensa,62
Túnez,Dylan Bronn,Servette,Defensa,52
Túnez,Ali Abdi,Nice,Defensa,45
Túnez,Yan Valery,Young Boys,Defensa,21
Túnez,Mohamed Amine Ben Hamida,ES Tunis,Defensa,12
Túnez,Moutaz Neffati,IFK Norrköping,Defensa,5
Túnez,Omar Rekik,Maribor,Defensa,4
Túnez,Adem Arous,Kasımpaşa,Defensa,1
Túnez,Raed Chikhaoui,US Monastir,Defensa,0
Túnez,Ellyes Skhiri,Eintracht Frankfurt,Mediocampista,81
Túnez,Hannibal Mejbri,Burnley,Mediocampista,44
Túnez,Anis Ben Slimane,Norwich City,Mediocampista,39
Túnez,Mortadha Ben Ouanes,Kasımpaşa,Mediocampista,17
Túnez,Ismaël Gharbi,Augsburg,Mediocampista,15
Túnez,Hadj Mahmoud,Lugano,Mediocampista,7
Túnez,Rani Khedira,Union Berlin,Mediocampista,2
Túnez,Elias Achouri,Copenhagen,Delantero,29
Túnez,Firas Chaouat,Club Africain,Delantero,28
Túnez,Hazem Mastouri,Dynamo Makhachkala,Delantero,18
Túnez,Elias Saad,Hannover 96,Delantero,14
Túnez,Sebastian Tounekti,Celtic,Delantero,10
Túnez,Khalil Ayari,PSG,Delantero,2
Túnez,Rayan Elloumi,Vancouver Whitecaps,Delantero,2
Bélgica,Thibaut Courtois,Real Madrid,Portero,107
Bélgica,Senne Lammens,Manchester United,Portero,2
Bélgica,Mike Penders,Strasbourg,Portero,0
Bélgica,Thomas Meunier,Lille,Defensa,78
Bélgica,Timothy Castagne,Fulham,Defensa,62
Bélgica,Arthur Theate,Eintracht Frankfurt,Defensa,32
Bélgica,Zeno Debast,Sporting CP,Defensa,26
Bélgica,Maxim De Cuyper,Brighton & Hove Albion,Defensa,17
Bélgica,Brandon Mechele,Club Brugge,Defensa,7
Bélgica,Koni De Winter,AC Milan,Defensa,7
Bélgica,Joaquin Seys,Club Brugge,Defensa,4
Bélgica,Nathan Ngoy,Lille,Defensa,2
Bélgica,Axel Witsel,Girona,Mediocampista,136
Bélgica,Kevin De Bruyne,Napoli,Mediocampista,117
Bélgica,Youri Tielemans,Aston Villa,Mediocampista,83
Bélgica,Hans Vanaken,Club Brugge,Mediocampista,32
Bélgica,Amadou Onana,Aston Villa,Mediocampista,27
Bélgica,Nicolas Raskin,Rangers,Mediocampista,11
Bélgica,Romelu Lukaku,Napoli,Delantero,124
Bélgica,Leandro Trossard,Arsenal,Delantero,50
Bélgica,Jérémy Doku,Manchester City,Delantero,41
Bélgica,Dodi Lukébakio,Benfica,Delantero,29
Bélgica,Charles De Ketelaere,Atalanta,Delantero,28
Bélgica,Alexis Saelemaekers,Milan,Delantero,23
Bélgica,Diego Moreira,Strasbourg,Delantero,2
Bélgica,Matias Fernandez-Pardo,Lille,Delantero,0
Egipto,Mohamed El Shenawy,Al Ahly,Portero,76
Egipto,Mostafa Shobeir,Al Ahly,Portero,8
Egipto,Mohamed Alaa,El Gouna,Portero,0
Egipto,El Mahdy Soliman,Zamalek,Portero,0
Egipto,Hamdy Fathy,Al-Wakrah,Defensa,62
Egipto,Ramy Rabia,Al-Ain,Defensa,44
Egipto,Mohamed Hany,Al Ahly,Defensa,41
Egipto,Ahmed Fatouh,Zamalek,Defensa,38
Egipto,Mohamed Abdelmonem,OGC Nice,Defensa,35
Egipto,Yasser Ibrahim,Al Ahly,Defensa,16
Egipto,Hossam Abdelmaguid,Zamalek,Defensa,13
Egipto,Karim Hafez,Pyramids,Defensa,2
Egipto,Tarek Alaa,ZED,Defensa,2
Egipto,Marwan Attia,Al Ahly,Mediocampista,33
Egipto,Emam Ashour,Al Ahly,Mediocampista,28
Egipto,Mohanad Lasheen,Pyramids,Mediocampista,32
Egipto,Mahmoud Saber,ZED,Mediocampista,15
Egipto,Mostafa Ziko,Al-Najma,Mediocampista,1
Egipto,Ibrahim Adel,Nordsjælland,Mediocampista,23
Egipto,Mohamed Salah,Liverpool,Delantero,116
Egipto,Trézéguet,Al Ahly,Delantero,95
Egipto,Zizo,Al Ahly,Delantero,62
Egipto,Omar Marmoush,Manchester City,Delantero,48
Egipto,Haissem Hassan,Real Oviedo,Delantero,3
Egipto,Hamza Abdel Karim,Barcelona B,Delantero,1
Egipto,Aktay Abdallah,ENPPI,Delantero,0
Irán,Alireza Beiranvand,Tractor,Portero,85
Irán,Payam Niazmand,Persepolis,Portero,15
Irán,Hossein Hosseini,Sepahan,Portero,13
Irán,Ehsan Hajsafi,Sepahan,Defensa,145
Irán,Milad Mohammadi,Persepolis,Defensa,75
Irán,Ramin Rezaeian,Foolad,Defensa,73
Irán,Hossein Kanaanizadegan,Persepolis,Defensa,64
Irán,Shojae Khalilzadeh,Tractor,Defensa,57
Irán,Saleh Hardani,Esteghlal,Defensa,17
Irán,Ali Nemati,Foolad,Defensa,16
Irán,Danial Eiri,Malavan,Defensa,0
Irán,Alireza Jahanbakhsh,Dender,Mediocampista,98
Irán,Saeid Ezatolahi,Shabab Al Ahli,Mediocampista,82
Irán,Saman Ghoddos,Kalba,Mediocampista,67
Irán,Mehdi Torabi,Tractor,Mediocampista,52
Irán,Rouzbeh Cheshmi,Esteghlal,Mediocampista,40
Irán,Mohammad Mohebi,Rostov,Mediocampista,36
Irán,Mehdi Ghayedi,Al Nasr,Mediocampista,29
Irán,Mohammad Ghorbani,Al Wahda,Mediocampista,15
Irán,Aria Yousefi,Sepahan,Mediocampista,13
Irán,Amirmohammad Razzaghinia,Esteghlal,Mediocampista,3
Irán,Mehdi Taremi,Olympiacos,Delantero,104
Irán,Shahriyar Moghanlou,Kalba,Delantero,20
Irán,Amirhossein Hosseinzadeh,Tractor,Delantero,17
Irán,Ali Alipour,Persepolis,Delantero,13
Irán,Dennis Eckert,Standard Liège,Delantero,0
Nueva Zelanda,Max Crocombe,Millwall,Portero,22
Nueva Zelanda,Alex Paulsen,Lechia Gdánsk,Portero,6
Nueva Zelanda,Michael Woud,Auckland FC,Portero,6
Nueva Zelanda,Tim Payne,Wellington Phoenix,Defensa,43
Nueva Zelanda,Francis de Vries,Auckland FC,Defensa,18
Nueva Zelanda,Tyler Bindon,Sheffield United,Defensa,23
Nueva Zelanda,Michael Boxall,Minnesota United,Defensa,61
Nueva Zelanda,Liberato Cacace,Wrexham,Defensa,35
Nueva Zelanda,Nando Pijnaker,Auckland FC,Defensa,23
Nueva Zelanda,Finn Surman,Portland Timbers,Defensa,17
Nueva Zelanda,Callan Elliot,Auckland FC,Defensa,9
Nueva Zelanda,Tommy Smith,Braintree Town,Mediocampista,56
Nueva Zelanda,Joe Bell,Viking,Mediocampista,31
Nueva Zelanda,Matthew Garbett,Peterborough United,Mediocampista,35
Nueva Zelanda,Marko Stamenić,Swansea City,Mediocampista,37
Nueva Zelanda,Sarpreet Singh,Wellington Phoenix,Mediocampista,26
Nueva Zelanda,Elijah Just,Motherwell,Mediocampista,42
Nueva Zelanda,Alex Rufer,Wellington Phoenix,Mediocampista,24
Nueva Zelanda,Ben Old,Saint-Étienne,Mediocampista,22
Nueva Zelanda,Callum McCowatt,Silkeborg,Mediocampista,30
Nueva Zelanda,Ryan Thomas,PEC Zwolle,Mediocampista,25
Nueva Zelanda,Lachlan Bayliss,Newcastle Jets,Delantero,2
Nueva Zelanda,Chris Wood,Nottingham Forest,Delantero,88
Nueva Zelanda,Kosta Barbarouses,Western Sydney Wanderers,Delantero,74
Nueva Zelanda,Ben Waine,Port Vale,Delantero,30
Nueva Zelanda,Jesse Randall,Auckland FC,Delantero,9
España,Unai Simón,Athletic Club,Portero,57
España,David Raya,Arsenal,Portero,12
España,Joan Garcia,Barcelona,Portero,1
España,Aymeric Laporte,Athletic Club,Defensa,44
España,Marc Cucurella,Chelsea,Defensa,23
España,Marcos Llorente,Atlético Madrid,Defensa,23
España,Eric García,Barcelona,Defensa,19
España,Pedro Porro,Tottenham Hotspur,Defensa,16
España,Álex Grimaldo,Bayer Leverkusen,Defensa,12
España,Pau Cubarsí,Barcelona,Defensa,11
España,Marc Pubill,Atlético Madrid,Defensa,0
España,Rodri,Manchester City,Mediocampista,61
España,Dani Olmo,Barcelona,Mediocampista,48
España,Mikel Merino,Arsenal,Mediocampista,41
España,Fabián Ruiz,PSG,Mediocampista,41
España,Pedri,Barcelona,Mediocampista,40
España,Gavi,Barcelona,Mediocampista,28
España,Martín Zubimendi,Arsenal,Mediocampista,25
España,Ferran Torres,Barcelona,Delantero,55
España,Mikel Oyarzabal,Real Sociedad,Delantero,52
España,Nico Williams,Athletic Club,Delantero,30
España,Lamine Yamal,Barcelona,Delantero,25
España,Yéremy Pino,Crystal Palace,Delantero,21
España,Álex Baena,Atlético Madrid,Delantero,15
España,Borja Iglesias,Celta Vigo,Delantero,6
España,Víctor Muñoz,Osasuna,Delantero,2
Cabo Verde,Vozinha,Chaves,Portero,85
Cabo Verde,Márcio Rosa,Montana,Portero,10
Cabo Verde,CJ dos Santos,San Diego,Portero,0
Cabo Verde,Stopira,Torreense,Defensa,60
Cabo Verde,Roberto Lopes,Shamrock Rovers,Defensa,44
Cabo Verde,João Paulo,FCSB,Defensa,40
Cabo Verde,Diney Borges,Al Bataeh,Defensa,29
Cabo Verde,Logan Costa,Villarreal,Defensa,26
Cabo Verde,Steven Moreira,Columbus Crew,Defensa,18
Cabo Verde,Wagner Pina,Trabzonspor,Defensa,12
Cabo Verde,Sidny Lopes Cabral,Benfica,Defensa,8
Cabo Verde,Kelvin Pires,SJK,Defensa,4
Cabo Verde,Jamiro Monteiro,PEC Zwolle,Mediocampista,53
Cabo Verde,Kevin Pina,Krasnodar,Mediocampista,30
Cabo Verde,Deroy Duarte,Ludogorets,Mediocampista,30
Cabo Verde,Telmo Arcanjo,Vitória de Guimarães,Mediocampista,14
Cabo Verde,Laros Duarte,Puskás Akadémia,Mediocampista,12
Cabo Verde,Yannick Semedo,Farense,Mediocampista,10
Cabo Verde,Ryan Mendes,Iğdır,Delantero,94
Cabo Verde,Garry Rodrigues,Apollon Limassol,Delantero,59
Cabo Verde,Willy Semedo,Omonia,Delantero,36
Cabo Verde,Jovane Cabral,Estrela Amadora,Delantero,25
Cabo Verde,Gilson Benchimol Tavares,Akron Tolyatti,Delantero,21
Cabo Verde,Dailon Livramento,Casa Pia,Delantero,20
Cabo Verde,Hélio Varela,Maccabi Tel Aviv,Delantero,19
Cabo Verde,Nuno da Costa,İstanbul Başakşehir,Delantero,7
Uruguay,Fernando Muslera,Estudiantes,Portero,134
Uruguay,Sergio Rochet,Internacional,Portero,35
Uruguay,Santiago Mele,Monterrey,Portero,8
Uruguay,José María Giménez,Atlético Madrid,Defensa,89
Uruguay,Matías Viña,River Plate,Defensa,43
Uruguay,Mathías Olivera,Napoli,Defensa,35
Uruguay,Guillermo Varela,Flamengo,Defensa,28
Uruguay,Ronald Araújo,Barcelona,Defensa,27
Uruguay,Sebastián Cáceres,América,Defensa,24
Uruguay,Joaquín Piquerez,Palmeiras,Defensa,19
Uruguay,Santiago Bueno,Wolverhampton Wanderers,Defensa,8
Uruguay,Rodrigo Bentancur,Tottenham Hotspur,Mediocampista,74
Uruguay,Federico Valverde,Real Madrid,Mediocampista,73
Uruguay,Giorgian de Arrascaeta,Flamengo,Mediocampista,60
Uruguay,Facundo Pellistri,Panathinaikos,Mediocampista,39
Uruguay,Manuel Ugarte,Manchester United,Mediocampista,36
Uruguay,Nicolás de la Cruz,Flamengo,Mediocampista,34
Uruguay,Brian Rodríguez,América,Mediocampista,32
Uruguay,Maximiliano Araújo,Sporting CP,Mediocampista,28
Uruguay,Agustín Canobbio,Fluminense,Mediocampista,15
Uruguay,Emiliano Martínez,Palmeiras,Mediocampista,10
Uruguay,Rodrigo Zalazar,Braga,Mediocampista,8
Uruguay,Juan Manuel Sanabria,Real Salt Lake,Mediocampista,5
Uruguay,Darwin Núñez,Al Hilal,Delantero,38
Uruguay,Federico Viñas,Oviedo,Delantero,11
Uruguay,Rodrigo Aguirre,Tigres UANL,Delantero,10
Arabia Saudita,Mohammed Al-Owais,Al Ula,Portero,63
Arabia Saudita,Nawaf Al-Aqidi,Al Nassr,Portero,22
Arabia Saudita,Ahmed Al-Kassar,Al Qadsiah,Portero,8
Arabia Saudita,Saud Abdulhamid,Lens,Defensa,53
Arabia Saudita,Hassan Al-Tambakti,Al Hilal,Defensa,51
Arabia Saudita,Abdulelah Al-Amri,Al Nassr,Defensa,41
Arabia Saudita,Nawaf Boushal,Al Nassr,Defensa,24
Arabia Saudita,Ali Lajami,Al Hilal,Defensa,20
Arabia Saudita,Ali Majrashi,Al Ahli,Defensa,20
Arabia Saudita,Hassan Kadesh,Al Ittihad,Defensa,19
Arabia Saudita,Moteb Al-Harbi,Al Hilal,Defensa,11
Arabia Saudita,Jehad Thakri,Al Qadsiah,Defensa,6
Arabia Saudita,Mohammed Abu Al-Shamat,Al Qadsiah,Defensa,5
Arabia Saudita,Salem Al-Dawsari,Al Hilal,Mediocampista,108
Arabia Saudita,Mohamed Kanno,Al Hilal,Mediocampista,75
Arabia Saudita,Nasser Al-Dawsari,Al Hilal,Mediocampista,42
Arabia Saudita,Abdullah Al-Khaibari,Al Nassr,Mediocampista,38
Arabia Saudita,Musab Al-Juwayr,Al Qadsiah,Mediocampista,33
Arabia Saudita,Ayman Yahya,Al Nassr,Mediocampista,25
Arabia Saudita,Ziyad Al-Johani,Al Ahli,Mediocampista,11
Arabia Saudita,Sultan Mandash,Al Hilal,Mediocampista,5
Arabia Saudita,Alaa Al-Hejji,Neom,Mediocampista,1
Arabia Saudita,Firas Al-Buraikan,Al Ahli,Delantero,69
Arabia Saudita,Saleh Al-Shehri,Al Ittihad,Delantero,55
Arabia Saudita,Abdullah Al-Hamdan,Al Nassr,Delantero,48
Arabia Saudita,Khalid Al-Ghannam,Al Ettifaq,Delantero,5
Francia,Mike Maignan,AC Milan,Portero,38
Francia,Brice Samba,Rennes,Portero,4
Francia,Robin Risser,Lens,Portero,0
Francia,Lucas Digne,Aston Villa,Defensa,56
Francia,Jules Koundé,Barcelona,Defensa,46
Francia,Théo Hernandez,Al Hilal,Defensa,42
Francia,Lucas Hernandez,PSG,Defensa,41
Francia,Dayot Upamecano,Bayern Munich,Defensa,36
Francia,William Saliba,Arsenal,Defensa,31
Francia,Ibrahima Konaté,Liverpool,Defensa,27
Francia,Malo Gusto,Chelsea,Defensa,9
Francia,Maxence Lacroix,Crystal Palace,Defensa,2
Francia,N'Golo Kanté,Fenerbahçe,Mediocampista,67
Francia,Adrien Rabiot,AC Milan,Mediocampista,57
Francia,Aurélien Tchouaméni,Real Madrid,Mediocampista,44
Francia,Manu Koné,Roma,Mediocampista,12
Francia,Warren Zaïre-Emery,PSG,Mediocampista,10
Francia,Kylian Mbappé,Real Madrid,Delantero,96
Francia,Ousmane Dembélé,PSG,Delantero,58
Francia,Marcus Thuram,Inter Milan,Delantero,33
Francia,Bradley Barcola,PSG,Delantero,18
Francia,Michael Olise,Bayern Munich,Delantero,15
Francia,Maghnes Akliouche,Monaco,Delantero,7
Francia,Désiré Doué,PSG,Delantero,6
Francia,Rayan Cherki,Manchester City,Delantero,5
Francia,Jean-Philippe Mateta,Crystal Palace,Delantero,3
Senegal,Yehvann Diouf,Nice,Portero,2
Senegal,Édouard Mendy,Al Ahli,Portero,56
Senegal,Mory Diaw,Le Havre,Portero,5
Senegal,Mamadou Sarr,Chelsea,Defensa,7
Senegal,Kalidou Koulibaly,Al Hilal,Defensa,102
Senegal,Abdoulaye Seck,Maccabi Haifa,Defensa,22
Senegal,Ismail Jakobs,Galatasaray,Defensa,29
Senegal,Krépin Diatta,Monaco,Defensa,60
Senegal,Moussa Niakhaté,Lyon,Defensa,30
Senegal,Antoine Mendy,Nice,Defensa,6
Senegal,El Hadji Malick Diouf,West Ham,Defensa,16
Senegal,Idrissa Gueye,Everton,Mediocampista,130
Senegal,Pathé Ciss,Rayo Vallecano,Mediocampista,29
Senegal,Lamine Camara,Monaco,Mediocampista,32
Senegal,Pape Matar Sarr,Tottenham,Mediocampista,39
Senegal,Habib Diarra,Sunderland,Mediocampista,20
Senegal,Bara Sapoko Ndiaye,Bayern Munich,Mediocampista,1
Senegal,Pape Gueye,Villarreal,Mediocampista,41
Senegal,Assane Diao,Como,Mediocampista,5
Senegal,Bamba Dieng,Lorient,Delantero,22
Senegal,Sadio Mané,Al Nassr,Delantero,127
Senegal,Nicolas Jackson,Bayern Munich,Delantero,32
Senegal,Cherif Ndiaye,Samsunspor,Delantero,18
Senegal,Iliman Ndiaye,Everton,Delantero,39
Senegal,Ismaïla Sarr,Crystal Palace,Delantero,82
Senegal,Ibrahim Mbaye,PSG,Delantero,10
Iraq,Jalal Hassan,Al Zawraa,Portero,100
Iraq,Fahad Talib,Al Talaba,Portero,21
Iraq,Ahmed Basil,Al Shorta,Portero,14
Iraq,Rebin Sulaka,Port,Defensa,54
Iraq,Manaf Younis,Al Shorta,Defensa,32
Iraq,Merchas Doski,Viktoria Plzeň,Defensa,30
Iraq,Zaid Tahseen,Pakhtakor,Defensa,26
Iraq,Frans Putros,Persib,Defensa,26
Iraq,Hussein Ali,Pogoń Szczecin,Defensa,25
Iraq,Ahmed Yahya,Al Shorta,Defensa,19
Iraq,Mustafa Saadoon,Al Shorta,Defensa,15
Iraq,Akam Hashim,Al Shorta,Defensa,12
Iraq,Ibrahim Bayesh,Al Dhafra,Mediocampista,74
Iraq,Amir Al-Ammari,Cracovia,Mediocampista,49
Iraq,Ali Jasim,Al Najma,Mediocampista,35
Iraq,Youssef Amyn,AEK Larnaca,Mediocampista,25
Iraq,Zidane Iqbal,Utrecht,Mediocampista,23
Iraq,Marko Farji,Venezia,Mediocampista,10
Iraq,Kevin Yakob,AGF,Mediocampista,7
Iraq,Aimar Sher,Sarpsborg,Mediocampista,6
Iraq,Zaid Ismail,Al Talaba,Mediocampista,5
Iraq,Ahmed Qasem,Nashville SC,Mediocampista,1
Iraq,Aymen Hussein,Al Karma,Delantero,93
Iraq,Mohanad Ali,Dibba,Delantero,71
Iraq,Ali Al-Hamadi,Luton Town,Delantero,18
Iraq,Ali Yousif,Al Talaba,Delantero,6
Noruega,Ørjan Nyland,Sevilla,Portero,69
Noruega,Egil Selvik,Watford,Portero,6
Noruega,Sander Tangvik,Hamburg,Portero,0
Noruega,Kristoffer Ajer,Brentford,Defensa,50
Noruega,Julian Ryerson,Borussia Dortmund,Defensa,41
Noruega,Leo Østigård,Genoa,Defensa,36
Noruega,Marcus Holmgren Pedersen,Torino,Defensa,31
Noruega,David Møller Wolfe,Wolverhampton Wanderers,Defensa,20
Noruega,Fredrik André Bjørkan,Bodø/Glimt,Defensa,19
Noruega,Torbjørn Heggem,Bologna,Defensa,13
Noruega,Sondre Langås,Derby County,Defensa,2
Noruega,Henrik Falchener,Viking,Defensa,1
Noruega,Martin Ødegaard,Arsenal,Mediocampista,67
Noruega,Sander Berge,Fulham,Mediocampista,64
Noruega,Patrick Berg,Bodø/Glimt,Mediocampista,41
Noruega,Kristian Thorstvedt,Sassuolo,Mediocampista,35
Noruega,Morten Thorsby,Cremonese,Mediocampista,30
Noruega,Antonio Nusa,RB Leipzig,Mediocampista,22
Noruega,Fredrik Aursnes,Benfica,Mediocampista,20
Noruega,Oscar Bobb,Fulham,Mediocampista,18
Noruega,Jens Petter Hauge,Bodø/Glimt,Mediocampista,14
Noruega,Andreas Schjelderup,Benfica,Mediocampista,10
Noruega,Thelo Aasgaard,Rangers,Mediocampista,6
Noruega,Alexander Sørloth,Atlético Madrid,Delantero,70
Noruega,Erling Haaland,Manchester City,Delantero,49
Noruega,Jørgen Strand Larsen,Crystal Palace,Delantero,26
Argentina,Emiliano Martínez,Aston Villa,Portero,59
